Structure,Diameter (inches),Length (km),Metal,Plastic,Concrete,Residue,Chemicals,Hydrocarbon,Burial Status,Final Decommissioning Option
PL2350,6,9.576,1,0,0,1,0,1,1,FullRemoval
PL2351,3,9.583,1,0,0,1,0,1,1,FullRemoval
PL2329,10.75,9.272,1,0,0,1,0,1,1,FullRemoval
PL2330,6.6,9.272,1,0,0,1,0,1,1,FullRemoval
PL218,14,14.46,1,0,0,1,0,1,1,FullRemoval
PL219,2.375,1.297,1,0,0,1,0,1,1,FullRemoval
PL220,4.5,1.302,1,0,0,1,0,1,1,FullRemoval
PL221,2.375,5.045,1,0,0,1,0,1,1,FullRemoval
PL222,4.5,5.059,1,0,0,1,0,1,1,FullRemoval
PL223,2.375,1.693,1,0,0,1,0,1,1,FullRemoval
PL2245,4.5,1.698,1,0,0,1,0,1,1,FullRemoval
PL2565,6.626,3.917,1,0,0,1,0,1,1,FullRemoval
PL3006,10,1.848,1,1,0,1,0,1,1,FullRemoval
PL3007,10,1.799,1,1,0,1,0,1,1,FullRemoval
PL1326,7.8,1.6,1,1,0,1,0,1,1,FullRemoval
PL1327,7.8,1.4,1,1,0,1,0,1,1,FullRemoval
PL1328,7.8,1.4,1,1,0,1,0,1,1,FullRemoval
PL1329,8.9,1.4,1,1,0,1,0,1,1,FullRemoval
PL1330,4,2.3,1,1,0,1,0,1,1,FullRemoval
PL1331,3,2.8,1,1,0,1,0,1,1,FullRemoval
PL1979 (2),4,0.1,1,1,0,1,1,0,0,LeaveInSitu
PL1574,3,0.1,1,1,0,1,1,0,0,LeaveInSitu
PL1465,3,0.03,1,1,0,1,1,0,0,LeaveInSitu
PL2611,8,0.081,1,1,0,1,1,0,0,LeaveInSitu
PL1620,8.625984252,0.06,1,1,0,1,1,0,0,LeaveInSitu
PL1379/1-7,10,0.25,1,1,0,1,1,0,0,LeaveInSitu
PL1383/1-5,10,2.382,1,1,0,1,1,0,0,LeaveInSitu
PL1402/1-5,10,2.8,1,1,0,1,1,0,0,LeaveInSitu
PL1425/1-7,10,0.2,1,1,0,1,1,0,0,LeaveInSitu
PL1426/1-6,10,0.19,1,1,0,1,1,0,0,LeaveInSitu
PL1427/1-6,10,2.986,1,1,0,1,1,0,0,LeaveInSitu
PL1434/1-2,10,3.679,1,1,0,1,1,0,0,LeaveInSitu
PL1435/1-2,4,0.082,1,1,0,1,1,0,0,LeaveInSitu
PL1371/1-5,10,4.812,1,1,0,1,1,0,0,LeaveInSitu
PL1616,8.625984252,0.04,1,1,0,1,0,1,0,LeaveInSitu
PL1616,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1616,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1617,8.625984252,0.04,1,1,0,1,0,1,0,LeaveInSitu
PL1617,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1617,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1618,4.5,0.04,1,1,0,1,0,1,0,LeaveInSitu
PL1618,4.5,0.045,1,1,0,1,0,1,0,LeaveInSitu
PL1618,4.5,0.055,1,1,0,1,0,1,0,LeaveInSitu
PL1624,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1624,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1625,3.5,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1625,3.5,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1445,3,0.16,1,1,0,1,0,1,0,LeaveInSitu
PL64,30,117.3,1,0,1,1,0,1,0,LeaveInSitu
